open_time,open,high,low,close,close_time,trades,volume
2018-05-28 07:00:00+02:00,12.49,12.65,12.1,12.4815,2018-05-28 07:14:59.999000+02:00,604,23178.48
2018-05-28 07:15:00+02:00,12.49,12.589,12.31,12.31,2018-05-28 07:29:59.999000+02:00,648,19451.75
2018-05-28 07:30:00+02:00,12.3139,12.3348,11.59,11.9292,2018-05-28 07:44:59.999000+02:00,1041,59827.69
2018-05-28 07:45:00+02:00,11.9292,12.0,11.3,11.8175,2018-05-28 07:59:59.999000+02:00,1038,53435.9
2018-05-28 08:00:00+02:00,11.8916,12.1012,11.71,11.7993,2018-05-28 08:14:59.999000+02:00,810,36529.56
2018-05-28 08:15:00+02:00,11.7914,12.0,11.7914,11.9209,2018-05-28 08:29:59.999000+02:00,474,17863.99
2018-05-28 08:30:00+02:00,11.9017,11.9745,11.8469,11.8803,2018-05-28 08:44:59.999000+02:00,326,18508.72
2018-05-28 08:45:00+02:00,11.919,12.1,11.9002,11.9997,2018-05-28 08:59:59.999000+02:00,462,15184.81
2018-05-28 09:00:00+02:00,12.01,12.32,11.9997,12.0355,2018-05-28 09:14:59.999000+02:00,565,18460.08
2018-05-28 09:15:00+02:00,12.035,12.098,12.0,12.025,2018-05-28 09:29:59.999000+02:00,225,11006.13
2018-05-28 09:30:00+02:00,12.022,12.0223,11.8783,11.9648,2018-05-28 09:44:59.999000+02:00,429,37370.32
2018-05-28 09:45:00+02:00,11.9733,12.03,11.9125,11.9368,2018-05-28 09:59:59.999000+02:00,299,39798.39
2018-05-28 10:00:00+02:00,11.9393,11.9799,11.8685,11.9257,2018-05-28 10:14:59.999000+02:00,207,28033.83
2018-05-28 10:15:00+02:00,11.9524,12.05,11.8957,11.9399,2018-05-28 10:29:59.999000+02:00,211,33448.61
2018-05-28 10:30:00+02:00,11.9191,11.9375,11.711,11.769,2018-05-28 10:44:59.999000+02:00,574,42858.27
2018-05-28 10:45:00+02:00,11.75,11.88,11.7498,11.8614,2018-05-28 10:59:59.999000+02:00,541,43230.4
2018-05-28 11:00:00+02:00,11.8796,11.9245,11.7842,11.9036,2018-05-28 11:14:59.999000+02:00,437,37290.49
2018-05-28 11:15:00+02:00,11.907,11.9996,11.904,11.9323,2018-05-28 11:29:59.999000+02:00,300,27607.69
2018-05-28 11:30:00+02:00,11.939,11.9476,11.8,11.8902,2018-05-28 11:44:59.999000+02:00,284,40540.61
2018-05-28 11:45:00+02:00,11.8899,11.9237,11.8,11.8261,2018-05-28 11:59:59.999000+02:00,307,39810.8
2018-05-28 12:00:00+02:00,11.826,11.9599,11.8059,11.9416,2018-05-28 12:14:59.999000+02:00,329,40628.4
2018-05-28 12:15:00+02:00,11.9416,11.9702,11.8625,11.9582,2018-05-28 12:29:59.999000+02:00,196,35557.86
2018-05-28 12:30:00+02:00,11.9561,11.9561,11.9,11.9394,2018-05-28 12:44:59.999000+02:00,178,38937.75
2018-05-28 12:45:00+02:00,11.9361,11.9561,11.905,11.9224,2018-05-28 12:59:59.999000+02:00,311,87885.96
2018-05-28 13:00:00+02:00,11.91,11.9257,11.86,11.8654,2018-05-28 13:14:59.999000+02:00,310,62777.32
2018-05-28 13:15:00+02:00,11.8652,11.9485,11.8404,11.8521,2018-05-28 13:29:59.999000+02:00,396,74694.36
2018-05-28 13:30:00+02:00,11.852,11.8649,11.7,11.79,2018-05-28 13:44:59.999000+02:00,451,63670.48
2018-05-28 13:45:00+02:00,11.79,11.8419,11.7451,11.8004,2018-05-28 13:59:59.999000+02:00,251,39420.06
2018-05-28 14:00:00+02:00,11.8052,11.97,11.52,11.97,2018-05-28 14:14:59.999000+02:00,1130,69938.23
2018-05-28 14:15:00+02:00,11.97,12.1,11.881,11.9999,2018-05-28 14:29:59.999000+02:00,870,59355.29
2018-05-28 14:30:00+02:00,11.9999,12.2,11.8643,12.1092,2018-05-28 14:44:59.999000+02:00,617,43449.38
2018-05-28 14:45:00+02:00,12.1178,12.33,12.0106,12.2413,2018-05-28 14:59:59.999000+02:00,841,83603.87
2018-05-28 15:00:00+02:00,12.2333,12.2968,12.155,12.1895,2018-05-28 15:14:59.999000+02:00,422,29324.94
2018-05-28 15:15:00+02:00,12.1893,12.24,12.1547,12.1999,2018-05-28 15:29:59.999000+02:00,317,47314.51
2018-05-28 15:30:00+02:00,12.1976,12.2,12.1281,12.1507,2018-05-28 15:44:59.999000+02:00,332,47182.55
2018-05-28 15:45:00+02:00,12.16,12.28,12.1511,12.22,2018-05-28 15:59:59.999000+02:00,291,38398.31
2018-05-28 16:00:00+02:00,12.2358,12.2384,12.151,12.2197,2018-05-28 16:14:59.999000+02:00,224,53355.2
2018-05-28 16:15:00+02:00,12.2203,12.2796,12.2203,12.2784,2018-05-28 16:29:59.999000+02:00,278,45702.78
2018-05-28 16:30:00+02:00,12.2785,12.3,12.1,12.1395,2018-05-28 16:44:59.999000+02:00,477,48658.4
2018-05-28 16:45:00+02:00,12.1396,12.2,12.0228,12.0737,2018-05-28 16:59:59.999000+02:00,325,33322.7
2018-05-28 17:00:00+02:00,12.0938,12.1887,12.0938,12.1578,2018-05-28 17:14:59.999000+02:00,276,47815.0
2018-05-28 17:15:00+02:00,12.1578,12.1578,12.0965,12.1376,2018-05-28 17:29:59.999000+02:00,202,49361.64
2018-05-28 17:30:00+02:00,12.1372,12.1721,11.9548,11.9641,2018-05-28 17:44:59.999000+02:00,454,46715.2
2018-05-28 17:45:00+02:00,12.0049,12.1338,11.93,12.0,2018-05-28 17:59:59.999000+02:00,320,36105.19
2018-05-28 18:00:00+02:00,11.9991,12.1365,11.9459,12.135,2018-05-28 18:14:59.999000+02:00,312,22249.42
2018-05-28 18:15:00+02:00,12.1,12.1352,12.0826,12.0858,2018-05-28 18:29:59.999000+02:00,201,42738.55
2018-05-28 18:30:00+02:00,12.0999,12.1099,11.961,12.0,2018-05-28 18:44:59.999000+02:00,267,27762.65
2018-05-28 18:45:00+02:00,11.994,12.0797,11.9209,12.0149,2018-05-28 18:59:59.999000+02:00,212,28022.77
2018-05-28 19:00:00+02:00,12.0148,12.03,11.9,12.0,2018-05-28 19:14:59.999000+02:00,403,38059.83
2018-05-28 19:15:00+02:00,12.0101,12.045,12.001,12.0386,2018-05-28 19:29:59.999000+02:00,296,66308.88
2018-05-28 19:30:00+02:00,12.0386,12.0386,12.0189,12.0301,2018-05-28 19:44:59.999000+02:00,207,49699.61
2018-05-28 19:45:00+02:00,12.0301,12.075,11.9749,12.075,2018-05-28 19:59:59.999000+02:00,291,61272.22
2018-05-28 20:00:00+02:00,12.0751,12.0898,11.9764,12.0228,2018-05-28 20:14:59.999000+02:00,316,58551.0
2018-05-28 20:15:00+02:00,12.0231,12.0898,11.9764,12.0563,2018-05-28 20:29:59.999000+02:00,173,36994.88
2018-05-28 20:30:00+02:00,12.0658,12.0893,11.934,11.96,2018-05-28 20:44:59.999000+02:00,268,58142.07
2018-05-28 20:45:00+02:00,11.9929,12.06,11.974,12.0054,2018-05-28 20:59:59.999000+02:00,189,29207.87
2018-05-28 21:00:00+02:00,12.004,12.06,11.9909,12.0467,2018-05-28 21:14:59.999000+02:00,211,48119.97
2018-05-28 21:15:00+02:00,12.0396,12.0468,12.0301,12.0312,2018-05-28 21:29:59.999000+02:00,218,63015.0
2018-05-28 21:30:00+02:00,12.0389,12.1399,12.0311,12.1399,2018-05-28 21:44:59.999000+02:00,373,47418.35
2018-05-28 21:45:00+02:00,12.1399,12.195,12.0101,12.1259,2018-05-28 21:59:59.999000+02:00,349,31998.6
2018-05-28 22:00:00+02:00,12.11,12.22,12.0704,12.161,2018-05-28 22:14:59.999000+02:00,140,12015.23
2018-05-28 22:15:00+02:00,12.1648,12.1648,12.1001,12.1442,2018-05-28 22:29:59.999000+02:00,201,29468.01
2018-05-28 22:30:00+02:00,12.1441,12.1549,12.0276,12.1221,2018-05-28 22:44:59.999000+02:00,234,38204.65
2018-05-28 22:45:00+02:00,12.1221,12.1222,12.0219,12.0999,2018-05-28 22:59:59.999000+02:00,195,26374.63
2018-05-28 23:00:00+02:00,12.0999,12.1,11.82,11.8946,2018-05-28 23:14:59.999000+02:00,657,54753.86
2018-05-28 23:15:00+02:00,11.8948,12.0164,11.8526,11.8541,2018-05-28 23:29:59.999000+02:00,548,71804.14
2018-05-28 23:30:00+02:00,11.8541,11.9647,11.8541,11.9021,2018-05-28 23:44:59.999000+02:00,441,47328.66
2018-05-28 23:45:00+02:00,11.9086,11.9149,11.7,11.773,2018-05-28 23:59:59.999000+02:00,886,84987.19
2018-05-29 00:00:00+02:00,11.7728,11.7809,11.603,11.603,2018-05-29 00:14:59.999000+02:00,848,54755.76
2018-05-29 00:15:00+02:00,11.6195,11.6799,11.33,11.3434,2018-05-29 00:29:59.999000+02:00,1622,106549.61
2018-05-29 00:30:00+02:00,11.33,11.6499,11.28,11.5853,2018-05-29 00:44:59.999000+02:00,1093,88002.78
2018-05-29 00:45:00+02:00,11.5853,11.75,11.4388,11.7212,2018-05-29 00:59:59.999000+02:00,685,62016.71
2018-05-29 01:00:00+02:00,11.7212,11.73,11.5085,11.6362,2018-05-29 01:14:59.999000+02:00,492,49395.91
2018-05-29 01:15:00+02:00,11.6486,11.67,11.5021,11.5165,2018-05-29 01:29:59.999000+02:00,476,61268.71
2018-05-29 01:30:00+02:00,11.5022,11.5778,11.4501,11.5359,2018-05-29 01:44:59.999000+02:00,724,63863.94
2018-05-29 01:45:00+02:00,11.5332,11.5648,11.4602,11.4788,2018-05-29 01:59:59.999000+02:00,646,67294.96
2018-05-29 02:00:00+02:00,11.4853,11.64,11.4793,11.6058,2018-05-29 02:14:59.999000+02:00,490,62561.55
2018-05-29 02:15:00+02:00,11.6057,11.65,11.5168,11.5884,2018-05-29 02:29:59.999000+02:00,366,45324.27
2018-05-29 02:30:00+02:00,11.5675,11.6931,11.55,11.6254,2018-05-29 02:44:59.999000+02:00,286,59175.61
2018-05-29 02:45:00+02:00,11.628,11.6769,11.5703,11.622,2018-05-29 02:59:59.999000+02:00,345,31270.32
